parameters,dT_targets,likelihood,remaining_carbon_budget,future_warming
magicc_hdtbasis1.24_zecsd0.0,2.100000000000001,0.67,1011.5857028514052,0.860000000000001
magicc_hdtbasis1.24_zecsd0.0,2.100000000000001,0.83,820.3135659715871,0.860000000000001
magicc_hdtbasis1.24_zecsd0.0,2.100000000000001,0.9,720.9494718493847,0.860000000000001
magicc_hdtbasis1.24_zecsd0.0,2.200000000000001,0.1,3026.4607508757254,0.9600000000000012
magicc_hdtbasis1.24_zecsd0.0,2.200000000000001,0.17,2382.672295129359,0.9600000000000012
magicc_hdtbasis1.24_zecsd0.0,2.200000000000001,0.33,1755.289127732105,0.9600000000000012
magicc_hdtbasis1.24_zecsd0.0,2.200000000000001,0.5,1412.5279712402498,0.9600000000000012
magicc_hdtbasis1.24_zecsd0.0,2.200000000000001,0.67,1166.8178958127687,0.9600000000000012
magicc_hdtbasis1.24_zecsd0.0,2.200000000000001,0.83,951.247971790149,0.9600000000000012
magicc_hdtbasis1.24_zecsd0.0,2.200000000000001,0.9,839.6217658411757,0.9600000000000012
magicc_hdtbasis1.24_zecsd0.0,2.300000000000001,0.1,3390.0199919318125,1.0600000000000012
magicc_hdtbasis1.24_zecsd0.0,2.300000000000001,0.17,2674.143337979266,1.0600000000000012
magicc_hdtbasis1.24_zecsd0.0,2.300000000000001,0.33,1976.6217842417884,1.0600000000000012
magicc_hdtbasis1.24_zecsd0.0,2.300000000000001,0.5,1595.362850722643,1.0600000000000012
magicc_hdtbasis1.24_zecsd0.0,2.300000000000001,0.67,1321.7763416151156,1.0600000000000012
magicc_hdtbasis1.24_zecsd0.0,2.300000000000001,0.83,1082.2347988044032,1.0600000000000012
magicc_hdtbasis1.24_zecsd0.0,2.300000000000001,0.9,958.1205358880792,1.0600000000000012
magicc_hdtbasis1.24_zecsd0.0,2.400000000000001,0.1,3754.1677414310434,1.1600000000000013
magicc_hdtbasis1.24_zecsd0.0,2.400000000000001,0.17,2966.378319016603,1.1600000000000013
magicc_hdtbasis1.24_zecsd0.0,2.400000000000001,0.33,2197.7966740964825,1.1600000000000013
magicc_hdtbasis1.24_zecsd0.0,2.400000000000001,0.5,1777.9441997958693,1.1600000000000013
magicc_hdtbasis1.24_zecsd0.0,2.400000000000001,0.67,1476.7097608860274,1.1600000000000013
magicc_hdtbasis1.24_zecsd0.0,2.400000000000001,0.83,1213.264532440683,1.1600000000000013
magicc_hdtbasis1.24_zecsd0.0,2.400000000000001,0.9,1076.7756902230728,1.1600000000000013
magicc_hdtbasis1.24_zecsd0.0,2.5000000000000013,0.1,4117.297506424499,1.2600000000000011
magicc_hdtbasis1.24_zecsd0.0,2.5000000000000013,0.17,3257.700678026234,1.2600000000000011
magicc_hdtbasis1.24_zecsd0.0,2.5000000000000013,0.33,2418.929313228047,1.2600000000000011
magicc_hdtbasis1.24_zecsd0.0,2.5000000000000013,0.5,1960.5087621115583,1.2600000000000011
magicc_hdtbasis1.24_zecsd0.0,2.5000000000000013,0.67,1631.9572541803404,1.2600000000000011
magicc_hdtbasis1.24_zecsd0.0,2.5000000000000013,0.83,1344.473198974128,1.2600000000000011
magicc_hdtbasis1.24_zecsd0.0,2.5000000000000013,0.9,1195.492063027609,1.2600000000000011
magicc_hdt_basis1.26_zecsd0.0,1.1,0.1,-488.21250025939815,-0.1599999999999999
magicc_hdt_basis1.26_zecsd0.0,1.1,0.17,-515.949957033578,-0.1599999999999999
magicc_hdt_basis1.26_zecsd0.0,1.1,0.33,-570.3216411858733,-0.1599999999999999
magicc_hdt_basis1.26_zecsd0.0,1.1,0.5,-633.0422500363779,-0.1599999999999999
magicc_hdt_basis1.26_zecsd0.0,1.1,0.67,-720.9248888033713,-0.1599999999999999
magicc_hdt_basis1.26_zecsd0.0,1.1,0.83,-882.3669393102804,-0.1599999999999999
magicc_hdt_basis1.26_zecsd0.0,1.1,0.9,-1048.3335209172767,-0.1599999999999999
