parameters,dT_targets,likelihood,remaining_carbon_budget,future_warming
magiccfair_hdt_basis1.24_zecsd0.19,1.8000000000000007,0.5,729.6011151518461,0.5600000000000007
magiccfair_hdt_basis1.24_zecsd0.19,1.8000000000000007,0.67,503.4450757721592,0.5600000000000007
magiccfair_hdt_basis1.24_zecsd0.19,1.8000000000000007,0.83,277.6736007523736,0.5600000000000007
magiccfair_hdt_basis1.24_zecsd0.19,1.8000000000000007,0.9,144.21006083827416,0.5600000000000007
magiccfair_hdt_basis1.24_zecsd0.19,1.9000000000000008,0.1,2249.3218338526294,0.6600000000000008
magiccfair_hdt_basis1.24_zecsd0.19,1.9000000000000008,0.17,1744.847899038328,0.6600000000000008
magiccfair_hdt_basis1.24_zecsd0.19,1.9000000000000008,0.33,1221.8821425886017,0.6600000000000008
magiccfair_hdt_basis1.24_zecsd0.19,1.9000000000000008,0.5,910.6435815951534,0.6600000000000008
magiccfair_hdt_basis1.24_zecsd0.19,1.9000000000000008,0.67,666.7193608234734,0.6600000000000008
magiccfair_hdt_basis1.24_zecsd0.19,1.9000000000000008,0.83,429.5703732853953,0.6600000000000008
magiccfair_hdt_basis1.24_zecsd0.19,1.9000000000000008,0.9,292.969526486857,0.6600000000000008
magiccfair_hdt_basis1.24_zecsd0.19,2.000000000000001,0.1,2584.017872223686,0.7600000000000009
magiccfair_hdt_basis1.24_zecsd0.19,2.000000000000001,0.17,2015.2444749701804,0.7600000000000009
magiccfair_hdt_basis1.24_zecsd0.19,2.000000000000001,0.33,1432.8678678088793,0.7600000000000009
magiccfair_hdt_basis1.24_zecsd0.19,2.000000000000001,0.5,1091.60007393602,0.7600000000000009
magiccfair_hdt_basis1.24_zecsd0.19,2.000000000000001,0.67,828.2776327004134,0.7600000000000009
magiccfair_hdt_basis1.24_zecsd0.19,2.000000000000001,0.83,577.1878291088068,0.7600000000000009
magiccfair_hdt_basis1.24_zecsd0.19,2.000000000000001,0.9,435.7983197366409,0.7600000000000009
magiccfair_hdt_basis1.24_zecsd0.19,2.100000000000001,0.1,2925.907361560509,0.860000000000001
magiccfair_hdt_basis1.24_zecsd0.19,2.100000000000001,0.17,2289.3842878056885,0.860000000000001
magiccfair_hdt_basis1.24_zecsd0.19,2.100000000000001,0.33,1645.47503719601,0.860000000000001
magiccfair_hdt_basis1.24_zecsd0.19,2.100000000000001,0.5,1272.5058867678074,0.860000000000001
magiccfair_hdt_basis1.24_zecsd0.19,2.100000000000001,0.67,988.1277239479298,0.860000000000001
magiccfair_hdt_basis1.24_zecsd0.19,2.100000000000001,0.83,721.1999566865228,0.860000000000001
magiccfair_hdt_basis1.24_zecsd0.19,2.100000000000001,0.9,573.1470146682885,0.860000000000001
magiccfair_hdt_basis1.24_zecsd0.19,2.200000000000001,0.1,3269.6390984911877,0.9600000000000012
magiccfair_hdt_basis1.24_zecsd0.19,2.200000000000001,0.17,2567.154702882661,0.9600000000000012
magiccfair_hdt_basis1.24_zecsd0.19,2.200000000000001,0.33,1859.629400221804,0.9600000000000012
magiccfair_hdt_basis1.24_zecsd0.19,2.200000000000001,0.5,1453.6734183411256,0.9600000000000012
magiccfair_hdt_basis1.24_zecsd0.19,2.200000000000001,0.67,1147.2301862231684,0.9600000000000012
magiccfair_hdt_basis1.24_zecsd0.19,2.200000000000001,0.83,863.2043080885888,0.9600000000000012
magiccfair_hdt_basis1.24_zecsd0.19,2.200000000000001,0.9,707.2944310564708,0.9600000000000012
magiccfair_hdt_basis1.24_zecsd0.19,2.300000000000001,0.1,3616.795820767713,1.0600000000000012
magiccfair_hdt_basis1.24_zecsd0.19,2.300000000000001,0.17,2845.282886940857,1.0600000000000012
magiccfair_hdt_basis1.24_zecsd0.19,2.300000000000001,0.33,2073.925888384826,1.0600000000000012
magiccfair_hdt_basis1.24_zecsd0.19,2.300000000000001,0.5,1634.4524641960395,1.0600000000000012
magiccfair_hdt_basis1.24_zecsd0.19,2.300000000000001,0.67,1305.518932874826,1.0600000000000012
magiccfair_hdt_basis1.24_zecsd0.19,2.300000000000001,0.83,1002.8345999183608,1.0600000000000012
magiccfair_hdt_basis1.24_zecsd0.19,2.300000000000001,0.9,838.8948470148816,1.0600000000000012
magiccfair_hdt_basis1.24_zecsd0.19,2.400000000000001,0.1,3963.763105063241,1.1600000000000013
magiccfair_hdt_basis1.24_zecsd0.19,2.400000000000001,0.17,3126.1771398664378,1.1600000000000013
magiccfair_hdt_basis1.24_zecsd0.19,2.400000000000001,0.33,2289.406972872808,1.1600000000000013
magiccfair_hdt_basis1.24_zecsd0.19,2.400000000000001,0.5,1815.4853056596944,1.1600000000000013
magiccfair_hdt_basis1.24_zecsd0.19,2.400000000000001,0.67,1462.497459065533,1.1600000000000013
magiccfair_hdt_basis1.24_zecsd0.19,2.400000000000001,0.83,1141.1348993580891,1.1600000000000013
magiccfair_hdt_basis1.24_zecsd0.19,2.400000000000001,0.9,968.0528777623744,1.1600000000000013
magiccfair_hdt_basis1.24_zecsd0.19,2.5000000000000013,0.1,4313.91102023043,1.2600000000000011
magiccfair_hdt_basis1.24_zecsd0.19,2.5000000000000013,0.17,3406.5909476305605,1.2600000000000011
magiccfair_hdt_basis1.24_zecsd0.19,2.5000000000000013,0.33,2504.38563287823,1.2600000000000011
magiccfair_hdt_basis1.24_zecsd0.19,2.5000000000000013,0.5,1996.1343550751565,1.2600000000000011
magiccfair_hdt_basis1.24_zecsd0.19,2.5000000000000013,0.67,1620.0177378728692,1.2600000000000011
magiccfair_hdt_basis1.24_zecsd0.19,2.5000000000000013,0.83,1278.5302653935466,1.2600000000000011
magiccfair_hdt_basis1.24_zecsd0.19,2.5000000000000013,0.9,1095.8254586332234,1.2600000000000011
