time,timebound_lower,timebound_upper,anthropogenic_p05,anthropogenic_p17,anthropogenic_p50,anthropogenic_p83,anthropogenic_p95,natural_p05,natural_p17,natural_p50,natural_p83,natural_p95,ghg_p05,ghg_p17,ghg_p50,ghg_p83,ghg_p95,other_human_forcing_p05,other_human_forcing_p17,other_human_forcing_p50,other_human_forcing_p83,other_human_forcing_p95,notes
2015,2010,2020,1.020927511, ,1.152113142, ,1.284120874,-0.017891696, ,0.018507825, ,0.054893153,1.225017916, ,1.431214654, ,1.640428278,-0.449153213, ,-0.254719547, ,-0.063309452,
2021,2016,2026,1.197184122, ,1.356403983, ,1.516562839,-0.03020414, ,0.009842823, ,0.049886138,1.360832307, ,1.589280729, ,1.821062129,-0.411439177, ,-0.230976288, ,-0.053232739,
2017.5,2017,2018,1.055909182, ,1.191421157, ,1.327784175,-0.01679392, ,0.017849898, ,0.052479845,1.264976908, ,1.47989278, ,1.697788718,-0.465181695, ,-0.263300448, ,-0.064633006,SR15 definition
2025.5,2025,2026,1.327535084, ,1.512838256, ,1.699145317,-0.042118378, ,0.004299893, ,0.050717563,1.4621945, ,1.709583949, ,1.960577083,-0.386446394, ,-0.212266063, ,-0.040430533,SR15 definition
