time,timebound_lower,timebound_upper,gas,source,units,value
2016.5,2016,2017,CO2-FFI,GCB v2022*,GtCO2,35.55004779
2017.5,2017,2018,CO2-FFI,GCB v2022*,GtCO2,36.12301056
2018.5,2018,2019,CO2-FFI,GCB v2022*,GtCO2,36.85330901
2019.5,2019,2020,CO2-FFI,GCB v2022*,GtCO2,37.10954773
2020.5,2020,2021,CO2-FFI,GCB v2022*,GtCO2,35.28975101
2021.5,2021,2022,CO2-FFI,GCB v2022*,GtCO2,37.15086917
1970.5,1970,1971,CO2-FFI,EDGAR v7.0,GtCO2,16.12084694
1971.5,1971,1972,CO2-FFI,EDGAR v7.0,GtCO2,16.04498508
1972.5,1972,1973,CO2-FFI,EDGAR v7.0,GtCO2,16.84642043
1973.5,1973,1974,CO2-FFI,EDGAR v7.0,GtCO2,17.84177066
1974.5,1974,1975,CO2-FFI,EDGAR v7.0,GtCO2,17.7880853
1975.5,1975,1976,CO2-FFI,EDGAR v7.0,GtCO2,17.72689029
1976.5,1976,1977,CO2-FFI,EDGAR v7.0,GtCO2,18.73180077
1977.5,1977,1978,CO2-FFI,EDGAR v7.0,GtCO2,19.27683267
1978.5,1978,1979,CO2-FFI,EDGAR v7.0,GtCO2,19.752209
1979.5,1979,1980,CO2-FFI,EDGAR v7.0,GtCO2,20.32165855
1980.5,1980,1981,CO2-FFI,EDGAR v7.0,GtCO2,20.05857028
1981.5,1981,1982,CO2-FFI,EDGAR v7.0,GtCO2,19.71375298
1982.5,1982,1983,CO2-FFI,EDGAR v7.0,GtCO2,19.45791496
1983.5,1983,1984,CO2-FFI,EDGAR v7.0,GtCO2,19.58670453
1984.5,1984,1985,CO2-FFI,EDGAR v7.0,GtCO2,20.20008641
1985.5,1985,1986,CO2-FFI,EDGAR v7.0,GtCO2,20.45819764
1986.5,1986,1987,CO2-FFI,EDGAR v7.0,GtCO2,20.83547891
1987.5,1987,1988,CO2-FFI,EDGAR v7.0,GtCO2,21.48511683
1988.5,1988,1989,CO2-FFI,EDGAR v7.0,GtCO2,22.26243546
1989.5,1989,1990,CO2-FFI,EDGAR v7.0,GtCO2,22.65169654
1990.5,1990,1991,CO2-FFI,EDGAR v7.0,GtCO2,22.71773246
1991.5,1991,1992,CO2-FFI,EDGAR v7.0,GtCO2,22.84989665
1992.5,1992,1993,CO2-FFI,EDGAR v7.0,GtCO2,22.78351914
1993.5,1993,1994,CO2-FFI,EDGAR v7.0,GtCO2,22.88267291
1994.5,1994,1995,CO2-FFI,EDGAR v7.0,GtCO2,23.11609599
1995.5,1995,1996,CO2-FFI,EDGAR v7.0,GtCO2,23.77304136
1996.5,1996,1997,CO2-FFI,EDGAR v7.0,GtCO2,24.22031242
1997.5,1997,1998,CO2-FFI,EDGAR v7.0,GtCO2,24.67304888
1998.5,1998,1999,CO2-FFI,EDGAR v7.0,GtCO2,24.81513464
1999.5,1999,2000,CO2-FFI,EDGAR v7.0,GtCO2,24.99393793
2000.5,2000,2001,CO2-FFI,EDGAR v7.0,GtCO2,25.83497336
2001.5,2001,2002,CO2-FFI,EDGAR v7.0,GtCO2,26.15530827
2002.5,2002,2003,CO2-FFI,EDGAR v7.0,GtCO2,26.53630299
2003.5,2003,2004,CO2-FFI,EDGAR v7.0,GtCO2,27.79506628
2004.5,2004,2005,CO2-FFI,EDGAR v7.0,GtCO2,29.0887723
2005.5,2005,2006,CO2-FFI,EDGAR v7.0,GtCO2,30.16157486
2006.5,2006,2007,CO2-FFI,EDGAR v7.0,GtCO2,31.2000718
2007.5,2007,2008,CO2-FFI,EDGAR v7.0,GtCO2,32.40139371
2008.5,2008,2009,CO2-FFI,EDGAR v7.0,GtCO2,32.58825224
2009.5,2009,2010,CO2-FFI,EDGAR v7.0,GtCO2,32.19284167
2010.5,2010,2011,CO2-FFI,EDGAR v7.0,GtCO2,34.15843902
2011.5,2011,2012,CO2-FFI,EDGAR v7.0,GtCO2,35.22077684
2012.5,2012,2013,CO2-FFI,EDGAR v7.0,GtCO2,35.70230008
2013.5,2013,2014,CO2-FFI,EDGAR v7.0,GtCO2,36.18884877
2014.5,2014,2015,CO2-FFI,EDGAR v7.0,GtCO2,36.41219735
2015.5,2015,2016,CO2-FFI,EDGAR v7.0,GtCO2,36.30197657
2016.5,2016,2017,CO2-FFI,EDGAR v7.0,GtCO2,36.39232279
2017.5,2017,2018,CO2-FFI,EDGAR v7.0,GtCO2,37.01417918
2018.5,2018,2019,CO2-FFI,EDGAR v7.0,GtCO2,37.87688257
2019.5,2019,2020,CO2-FFI,EDGAR v7.0,GtCO2,37.993282
2020.5,2020,2021,CO2-FFI,EDGAR v7.0,GtCO2,35.96067411
2021.5,2021,2022,CO2-FFI,EDGAR v7.0,GtCO2,37.85757575
1959.5,1959,1960,CO2-LULUCF,GCB v2022*,GtCO2,7.109422222
1960.5,1960,1961,CO2-LULUCF,GCB v2022*,GtCO2,6.572866667
1961.5,1961,1962,CO2-LULUCF,GCB v2022*,GtCO2,6.1105
1962.5,1962,1963,CO2-LULUCF,GCB v2022*,GtCO2,5.896977778
1963.5,1963,1964,CO2-LULUCF,GCB v2022*,GtCO2,5.656688889
1964.5,1964,1965,CO2-LULUCF,GCB v2022*,GtCO2,5.479711111
1965.5,1965,1966,CO2-LULUCF,GCB v2022*,GtCO2,5.070388889
1966.5,1966,1967,CO2-LULUCF,GCB v2022*,GtCO2,4.851244444
1967.5,1967,1968,CO2-LULUCF,GCB v2022*,GtCO2,4.928488889
1968.5,1968,1969,CO2-LULUCF,GCB v2022*,GtCO2,4.981044444
1969.5,1969,1970,CO2-LULUCF,GCB v2022*,GtCO2,4.669377778
1970.5,1970,1971,CO2-LULUCF,GCB v2022*,GtCO2,4.602033333
1971.5,1971,1972,CO2-LULUCF,GCB v2022*,GtCO2,4.5892
1972.5,1972,1973,CO2-LULUCF,GCB v2022*,GtCO2,4.593844444
1973.5,1973,1974,CO2-LULUCF,GCB v2022*,GtCO2,4.450844444
1974.5,1974,1975,CO2-LULUCF,GCB v2022*,GtCO2,4.3241
1975.5,1975,1976,CO2-LULUCF,GCB v2022*,GtCO2,4.373233333
1976.5,1976,1977,CO2-LULUCF,GCB v2022*,GtCO2,4.307966667
1977.5,1977,1978,CO2-LULUCF,GCB v2022*,GtCO2,4.410388889
1978.5,1978,1979,CO2-LULUCF,GCB v2022*,GtCO2,4.226444444
1979.5,1979,1980,CO2-LULUCF,GCB v2022*,GtCO2,4.062422222
1980.5,1980,1981,CO2-LULUCF,GCB v2022*,GtCO2,4.0876
1981.5,1981,1982,CO2-LULUCF,GCB v2022*,GtCO2,4.394988889
1982.5,1982,1983,CO2-LULUCF,GCB v2022*,GtCO2,4.4121
1983.5,1983,1984,CO2-LULUCF,GCB v2022*,GtCO2,4.808344444
1984.5,1984,1985,CO2-LULUCF,GCB v2022*,GtCO2,5.309944444
1985.5,1985,1986,CO2-LULUCF,GCB v2022*,GtCO2,5.084077778
1986.5,1986,1987,CO2-LULUCF,GCB v2022*,GtCO2,5.120377778
1987.5,1987,1988,CO2-LULUCF,GCB v2022*,GtCO2,5.116588889
1988.5,1988,1989,CO2-LULUCF,GCB v2022*,GtCO2,5.0622
1989.5,1989,1990,CO2-LULUCF,GCB v2022*,GtCO2,4.872388889
1990.5,1990,1991,CO2-LULUCF,GCB v2022*,GtCO2,4.880822222
1991.5,1991,1992,CO2-LULUCF,GCB v2022*,GtCO2,4.760677778
1992.5,1992,1993,CO2-LULUCF,GCB v2022*,GtCO2,4.894266667
1993.5,1993,1994,CO2-LULUCF,GCB v2022*,GtCO2,4.879966667
1994.5,1994,1995,CO2-LULUCF,GCB v2022*,GtCO2,5.299677778
1995.5,1995,1996,CO2-LULUCF,GCB v2022*,GtCO2,5.2921
1996.5,1996,1997,CO2-LULUCF,GCB v2022*,GtCO2,5.288922222
1997.5,1997,1998,CO2-LULUCF,GCB v2022*,GtCO2,7.110033333
1998.5,1998,1999,CO2-LULUCF,GCB v2022*,GtCO2,5.490711111
1999.5,1999,2000,CO2-LULUCF,GCB v2022*,GtCO2,5.493033333
2000.5,2000,2001,CO2-LULUCF,GCB v2022*,GtCO2,5.119644444
2001.5,2001,2002,CO2-LULUCF,GCB v2022*,GtCO2,4.742466667
2002.5,2002,2003,CO2-LULUCF,GCB v2022*,GtCO2,5.181
2003.5,2003,2004,CO2-LULUCF,GCB v2022*,GtCO2,5.656933333
2004.5,2004,2005,CO2-LULUCF,GCB v2022*,GtCO2,5.366166667
2005.5,2005,2006,CO2-LULUCF,GCB v2022*,GtCO2,4.7201
2006.5,2006,2007,CO2-LULUCF,GCB v2022*,GtCO2,5.076988889
2007.5,2007,2008,CO2-LULUCF,GCB v2022*,GtCO2,4.440211111
2008.5,2008,2009,CO2-LULUCF,GCB v2022*,GtCO2,4.6464
2009.5,2009,2010,CO2-LULUCF,GCB v2022*,GtCO2,5.037388889
2010.5,2010,2011,CO2-LULUCF,GCB v2022*,GtCO2,4.841222222
2011.5,2011,2012,CO2-LULUCF,GCB v2022*,GtCO2,4.967722222
2012.5,2012,2013,CO2-LULUCF,GCB v2022*,GtCO2,4.830466667
2013.5,2013,2014,CO2-LULUCF,GCB v2022*,GtCO2,4.631488889
2014.5,2014,2015,CO2-LULUCF,GCB v2022*,GtCO2,4.921277778
2015.5,2015,2016,CO2-LULUCF,GCB v2022*,GtCO2,5.389633333
2016.5,2016,2017,CO2-LULUCF,GCB v2022*,GtCO2,4.531144444
2017.5,2017,2018,CO2-LULUCF,GCB v2022*,GtCO2,4.3351
2018.5,2018,2019,CO2-LULUCF,GCB v2022*,GtCO2,4.1844
2019.5,2019,2020,CO2-LULUCF,GCB v2022*,GtCO2,4.5606
2020.5,2020,2021,CO2-LULUCF,GCB v2022*,GtCO2,4.060711111
2021.5,2021,2022,CO2-LULUCF,GCB v2022*,GtCO2,3.941911111
1959.5,1959,1960,CO2-LULUCF,H&N,GtCO2,3.655666667
1960.5,1960,1961,CO2-LULUCF,H&N,GtCO2,3.819566667
1961.5,1961,1962,CO2-LULUCF,H&N,GtCO2,3.800133333
1962.5,1962,1963,CO2-LULUCF,H&N,GtCO2,3.8313
1963.5,1963,1964,CO2-LULUCF,H&N,GtCO2,3.751733333
1964.5,1964,1965,CO2-LULUCF,H&N,GtCO2,3.6256
1965.5,1965,1966,CO2-LULUCF,H&N,GtCO2,3.420266667
1966.5,1966,1967,CO2-LULUCF,H&N,GtCO2,3.214933333
1967.5,1967,1968,CO2-LULUCF,H&N,GtCO2,3.124733333
1968.5,1968,1969,CO2-LULUCF,H&N,GtCO2,2.949833333
1969.5,1969,1970,CO2-LULUCF,H&N,GtCO2,2.929666667
1970.5,1970,1971,CO2-LULUCF,H&N,GtCO2,2.8952
1971.5,1971,1972,CO2-LULUCF,H&N,GtCO2,2.8512
1972.5,1972,1973,CO2-LULUCF,H&N,GtCO2,2.7203
1973.5,1973,1974,CO2-LULUCF,H&N,GtCO2,2.574
1974.5,1974,1975,CO2-LULUCF,H&N,GtCO2,2.5157
1975.5,1975,1976,CO2-LULUCF,H&N,GtCO2,2.5014
1976.5,1976,1977,CO2-LULUCF,H&N,GtCO2,2.4398
1977.5,1977,1978,CO2-LULUCF,H&N,GtCO2,2.3826
1978.5,1978,1979,CO2-LULUCF,H&N,GtCO2,2.2957
1979.5,1979,1980,CO2-LULUCF,H&N,GtCO2,2.142066667
1980.5,1980,1981,CO2-LULUCF,H&N,GtCO2,2.067266667
1981.5,1981,1982,CO2-LULUCF,H&N,GtCO2,2.098433333
1982.5,1982,1983,CO2-LULUCF,H&N,GtCO2,2.150866667
1983.5,1983,1984,CO2-LULUCF,H&N,GtCO2,2.252433333
1984.5,1984,1985,CO2-LULUCF,H&N,GtCO2,2.519366667
1985.5,1985,1986,CO2-LULUCF,H&N,GtCO2,2.586833333
1986.5,1986,1987,CO2-LULUCF,H&N,GtCO2,2.700133333
1987.5,1987,1988,CO2-LULUCF,H&N,GtCO2,2.902166667
1988.5,1988,1989,CO2-LULUCF,H&N,GtCO2,2.935166667
1989.5,1989,1990,CO2-LULUCF,H&N,GtCO2,2.8127
1990.5,1990,1991,CO2-LULUCF,H&N,GtCO2,3.0217
1991.5,1991,1992,CO2-LULUCF,H&N,GtCO2,3.2692
1992.5,1992,1993,CO2-LULUCF,H&N,GtCO2,3.475633333
1993.5,1993,1994,CO2-LULUCF,H&N,GtCO2,3.673266667
1994.5,1994,1995,CO2-LULUCF,H&N,GtCO2,3.814433333
1995.5,1995,1996,CO2-LULUCF,H&N,GtCO2,3.745133333
1996.5,1996,1997,CO2-LULUCF,H&N,GtCO2,3.766033333
1997.5,1997,1998,CO2-LULUCF,H&N,GtCO2,5.6166
1998.5,1998,1999,CO2-LULUCF,H&N,GtCO2,3.6498
1999.5,1999,2000,CO2-LULUCF,H&N,GtCO2,3.613866667
2000.5,2000,2001,CO2-LULUCF,H&N,GtCO2,3.287166667
2001.5,2001,2002,CO2-LULUCF,H&N,GtCO2,3.184866667
2002.5,2002,2003,CO2-LULUCF,H&N,GtCO2,3.307333333
2003.5,2003,2004,CO2-LULUCF,H&N,GtCO2,2.843133333
2004.5,2004,2005,CO2-LULUCF,H&N,GtCO2,2.912066667
2005.5,2005,2006,CO2-LULUCF,H&N,GtCO2,2.790333333
2006.5,2006,2007,CO2-LULUCF,H&N,GtCO2,3.343633333
2007.5,2007,2008,CO2-LULUCF,H&N,GtCO2,2.7555
2008.5,2008,2009,CO2-LULUCF,H&N,GtCO2,2.8864
2009.5,2009,2010,CO2-LULUCF,H&N,GtCO2,3.403033333
2010.5,2010,2011,CO2-LULUCF,H&N,GtCO2,3.233266667
2011.5,2011,2012,CO2-LULUCF,H&N,GtCO2,3.303666667
2012.5,2012,2013,CO2-LULUCF,H&N,GtCO2,3.266266667
2013.5,2013,2014,CO2-LULUCF,H&N,GtCO2,3.280933333
2014.5,2014,2015,CO2-LULUCF,H&N,GtCO2,3.5332
2015.5,2015,2016,CO2-LULUCF,H&N,GtCO2,3.8698
2016.5,2016,2017,CO2-LULUCF,H&N,GtCO2,2.8567
2017.5,2017,2018,CO2-LULUCF,H&N,GtCO2,2.596366667
2018.5,2018,2019,CO2-LULUCF,H&N,GtCO2,2.447133333
2019.5,2019,2020,CO2-LULUCF,H&N,GtCO2,2.744866667
2020.5,2020,2021,CO2-LULUCF,H&N,GtCO2,2.344833333
2021.5,2021,2022,CO2-LULUCF,H&N,GtCO2,2.0922
1959.5,1959,1960,CO2-LULUCF,BLUE,GtCO2,11.3421
1960.5,1960,1961,CO2-LULUCF,BLUE,GtCO2,9.508766667
1961.5,1961,1962,CO2-LULUCF,BLUE,GtCO2,8.634633333
1962.5,1962,1963,CO2-LULUCF,BLUE,GtCO2,8.1752
1963.5,1963,1964,CO2-LULUCF,BLUE,GtCO2,7.6934
1964.5,1964,1965,CO2-LULUCF,BLUE,GtCO2,7.427566667
1965.5,1965,1966,CO2-LULUCF,BLUE,GtCO2,6.573966667
1966.5,1966,1967,CO2-LULUCF,BLUE,GtCO2,6.344066667
1967.5,1967,1968,CO2-LULUCF,BLUE,GtCO2,6.767933333
1968.5,1968,1969,CO2-LULUCF,BLUE,GtCO2,7.082533333
1969.5,1969,1970,CO2-LULUCF,BLUE,GtCO2,6.255333333
1970.5,1970,1971,CO2-LULUCF,BLUE,GtCO2,6.070166667
1971.5,1971,1972,CO2-LULUCF,BLUE,GtCO2,5.996466667
1972.5,1972,1973,CO2-LULUCF,BLUE,GtCO2,6.264133333
1973.5,1973,1974,CO2-LULUCF,BLUE,GtCO2,5.973
1974.5,1974,1975,CO2-LULUCF,BLUE,GtCO2,5.629066667
1975.5,1975,1976,CO2-LULUCF,BLUE,GtCO2,5.770233333
1976.5,1976,1977,CO2-LULUCF,BLUE,GtCO2,5.6067
1977.5,1977,1978,CO2-LULUCF,BLUE,GtCO2,5.9741
1978.5,1978,1979,CO2-LULUCF,BLUE,GtCO2,5.6012
1979.5,1979,1980,CO2-LULUCF,BLUE,GtCO2,5.4109
1980.5,1980,1981,CO2-LULUCF,BLUE,GtCO2,5.5858
1981.5,1981,1982,CO2-LULUCF,BLUE,GtCO2,6.353966667
1982.5,1982,1983,CO2-LULUCF,BLUE,GtCO2,6.3052
1983.5,1983,1984,CO2-LULUCF,BLUE,GtCO2,7.326366667
1984.5,1984,1985,CO2-LULUCF,BLUE,GtCO2,8.280433333
1985.5,1985,1986,CO2-LULUCF,BLUE,GtCO2,7.418766667
1986.5,1986,1987,CO2-LULUCF,BLUE,GtCO2,7.597333333
1987.5,1987,1988,CO2-LULUCF,BLUE,GtCO2,7.218566667
1988.5,1988,1989,CO2-LULUCF,BLUE,GtCO2,6.958233333
1989.5,1989,1990,CO2-LULUCF,BLUE,GtCO2,6.616133333
1990.5,1990,1991,CO2-LULUCF,BLUE,GtCO2,6.4251
1991.5,1991,1992,CO2-LULUCF,BLUE,GtCO2,5.7981
1992.5,1992,1993,CO2-LULUCF,BLUE,GtCO2,6.172833333
1993.5,1993,1994,CO2-LULUCF,BLUE,GtCO2,5.906633333
1994.5,1994,1995,CO2-LULUCF,BLUE,GtCO2,6.935866667
1995.5,1995,1996,CO2-LULUCF,BLUE,GtCO2,6.683966667
1996.5,1996,1997,CO2-LULUCF,BLUE,GtCO2,6.631166667
1997.5,1997,1998,CO2-LULUCF,BLUE,GtCO2,8.434433333
1998.5,1998,1999,CO2-LULUCF,BLUE,GtCO2,7.320866667
1999.5,1999,2000,CO2-LULUCF,BLUE,GtCO2,6.991233333
2000.5,2000,2001,CO2-LULUCF,BLUE,GtCO2,6.3657
2001.5,2001,2002,CO2-LULUCF,BLUE,GtCO2,5.649233333
2002.5,2002,2003,CO2-LULUCF,BLUE,GtCO2,6.640333333
2003.5,2003,2004,CO2-LULUCF,BLUE,GtCO2,8.3798
2004.5,2004,2005,CO2-LULUCF,BLUE,GtCO2,7.081433333
2005.5,2005,2006,CO2-LULUCF,BLUE,GtCO2,5.982166667
2006.5,2006,2007,CO2-LULUCF,BLUE,GtCO2,6.203266667
2007.5,2007,2008,CO2-LULUCF,BLUE,GtCO2,5.600466667
2008.5,2008,2009,CO2-LULUCF,BLUE,GtCO2,5.990233333
2009.5,2009,2010,CO2-LULUCF,BLUE,GtCO2,6.269266667
2010.5,2010,2011,CO2-LULUCF,BLUE,GtCO2,6.057333333
2011.5,2011,2012,CO2-LULUCF,BLUE,GtCO2,6.0863
2012.5,2012,2013,CO2-LULUCF,BLUE,GtCO2,6.017
2013.5,2013,2014,CO2-LULUCF,BLUE,GtCO2,5.505133333
2014.5,2014,2015,CO2-LULUCF,BLUE,GtCO2,6.027266667
2015.5,2015,2016,CO2-LULUCF,BLUE,GtCO2,6.703033333
2016.5,2016,2017,CO2-LULUCF,BLUE,GtCO2,5.8102
2017.5,2017,2018,CO2-LULUCF,BLUE,GtCO2,5.6045
2018.5,2018,2019,CO2-LULUCF,BLUE,GtCO2,5.4967
2019.5,2019,2020,CO2-LULUCF,BLUE,GtCO2,6.088133333
2020.5,2020,2021,CO2-LULUCF,BLUE,GtCO2,5.355166667
2021.5,2021,2022,CO2-LULUCF,BLUE,GtCO2,5.398433333
1959.5,1959,1960,CO2-LULUCF,OSCAR,GtCO2,6.3305
1960.5,1960,1961,CO2-LULUCF,OSCAR,GtCO2,6.390266667
1961.5,1961,1962,CO2-LULUCF,OSCAR,GtCO2,5.896733333
1962.5,1962,1963,CO2-LULUCF,OSCAR,GtCO2,5.684433333
1963.5,1963,1964,CO2-LULUCF,OSCAR,GtCO2,5.524933333
1964.5,1964,1965,CO2-LULUCF,OSCAR,GtCO2,5.385966667
1965.5,1965,1966,CO2-LULUCF,OSCAR,GtCO2,5.216933333
1966.5,1966,1967,CO2-LULUCF,OSCAR,GtCO2,4.994733333
1967.5,1967,1968,CO2-LULUCF,OSCAR,GtCO2,4.8928
1968.5,1968,1969,CO2-LULUCF,OSCAR,GtCO2,4.910766667
1969.5,1969,1970,CO2-LULUCF,OSCAR,GtCO2,4.823133333
1970.5,1970,1971,CO2-LULUCF,OSCAR,GtCO2,4.840733333
1971.5,1971,1972,CO2-LULUCF,OSCAR,GtCO2,4.919933333
1972.5,1972,1973,CO2-LULUCF,OSCAR,GtCO2,4.7971
1973.5,1973,1974,CO2-LULUCF,OSCAR,GtCO2,4.805533333
1974.5,1974,1975,CO2-LULUCF,OSCAR,GtCO2,4.827533333
1975.5,1975,1976,CO2-LULUCF,OSCAR,GtCO2,4.848066667
1976.5,1976,1977,CO2-LULUCF,OSCAR,GtCO2,4.8774
1977.5,1977,1978,CO2-LULUCF,OSCAR,GtCO2,4.874466667
1978.5,1978,1979,CO2-LULUCF,OSCAR,GtCO2,4.782433333
1979.5,1979,1980,CO2-LULUCF,OSCAR,GtCO2,4.6343
1980.5,1980,1981,CO2-LULUCF,OSCAR,GtCO2,4.609733333
1981.5,1981,1982,CO2-LULUCF,OSCAR,GtCO2,4.732566667
1982.5,1982,1983,CO2-LULUCF,OSCAR,GtCO2,4.780233333
1983.5,1983,1984,CO2-LULUCF,OSCAR,GtCO2,4.846233333
1984.5,1984,1985,CO2-LULUCF,OSCAR,GtCO2,5.130033333
1985.5,1985,1986,CO2-LULUCF,OSCAR,GtCO2,5.246633333
1986.5,1986,1987,CO2-LULUCF,OSCAR,GtCO2,5.063666667
1987.5,1987,1988,CO2-LULUCF,OSCAR,GtCO2,5.229033333
1988.5,1988,1989,CO2-LULUCF,OSCAR,GtCO2,5.2932
1989.5,1989,1990,CO2-LULUCF,OSCAR,GtCO2,5.188333333
1990.5,1990,1991,CO2-LULUCF,OSCAR,GtCO2,5.195666667
1991.5,1991,1992,CO2-LULUCF,OSCAR,GtCO2,5.214733333
1992.5,1992,1993,CO2-LULUCF,OSCAR,GtCO2,5.034333333
1993.5,1993,1994,CO2-LULUCF,OSCAR,GtCO2,5.06
1994.5,1994,1995,CO2-LULUCF,OSCAR,GtCO2,5.148733333
1995.5,1995,1996,CO2-LULUCF,OSCAR,GtCO2,5.4472
1996.5,1996,1997,CO2-LULUCF,OSCAR,GtCO2,5.469566667
1997.5,1997,1998,CO2-LULUCF,OSCAR,GtCO2,7.279066667
1998.5,1998,1999,CO2-LULUCF,OSCAR,GtCO2,5.501466667
1999.5,1999,2000,CO2-LULUCF,OSCAR,GtCO2,5.874
2000.5,2000,2001,CO2-LULUCF,OSCAR,GtCO2,5.706066667
2001.5,2001,2002,CO2-LULUCF,OSCAR,GtCO2,5.3933
2002.5,2002,2003,CO2-LULUCF,OSCAR,GtCO2,5.595333333
2003.5,2003,2004,CO2-LULUCF,OSCAR,GtCO2,5.747866667
2004.5,2004,2005,CO2-LULUCF,OSCAR,GtCO2,6.105
2005.5,2005,2006,CO2-LULUCF,OSCAR,GtCO2,5.3878
2006.5,2006,2007,CO2-LULUCF,OSCAR,GtCO2,5.684066667
2007.5,2007,2008,CO2-LULUCF,OSCAR,GtCO2,4.964666667
2008.5,2008,2009,CO2-LULUCF,OSCAR,GtCO2,5.062566667
2009.5,2009,2010,CO2-LULUCF,OSCAR,GtCO2,5.439866667
2010.5,2010,2011,CO2-LULUCF,OSCAR,GtCO2,5.233066667
2011.5,2011,2012,CO2-LULUCF,OSCAR,GtCO2,5.5132
2012.5,2012,2013,CO2-LULUCF,OSCAR,GtCO2,5.208133333
