year,timebound_lower,timebound_upper,F-gases,N2O,CH4,CO2-LULUCF,CO2-FFI
1959.5,1959,1960,,,,8.69276672,8.855112131
1960.5,1960,1961,,,,7.61056768,9.386951378
1961.5,1961,1962,,,,7.630157867,9.41499049
1962.5,1962,1963,,,,7.138400213,9.74724078
1963.5,1963,1964,,,,6.953331573,10.26677766
1964.5,1964,1965,,,,6.659918453,10.82446965
1965.5,1965,1966,,,,6.385423787,11.31060288
1966.5,1966,1967,,,,5.91714016,11.86262522
1967.5,1967,1968,,,,6.25052752,12.23737074
1968.5,1968,1969,,,,6.327129547,12.90527366
1969.5,1969,1970,,,,6.940544213,13.76179739
1970.5,1970,1971,,1.48829532,5.731166458,6.689670133,14.89913841
1971.5,1971,1972,,1.509582756,5.80457548,6.1393984,15.50386365
1972.5,1972,1973,,1.536588425,5.90932251,6.43808768,16.22458056
1973.5,1973,1974,,1.584927654,6.083809319,6.2542648,17.07728605
1974.5,1974,1975,,1.602442842,6.122853057,6.31299872,16.9979116
1975.5,1975,1976,,1.625946817,6.191997557,6.12349664,16.98847675
1976.5,1976,1977,,1.674250718,6.282834694,6.060280427,17.86249171
1977.5,1977,1978,,1.709149368,6.362341033,6.620090773,18.35803867
1978.5,1978,1979,,1.756271629,6.42055246,6.563897227,19.02474133
1979.5,1979,1980,,1.782719946,6.551515177,5.855829227,19.50859048
1980.5,1980,1981,,1.788361677,6.522096599,6.001314453,19.40979303
1981.5,1981,1982,,1.777114547,6.414634059,5.836581013,18.87975665
1982.5,1982,1983,,1.808531071,6.469886711,5.531553013,18.72974237
1983.5,1983,1984,,1.863942519,6.507619851,5.839854187,18.90177504
1984.5,1984,1985,,1.895573835,6.622470518,6.424799573,19.45724975
1985.5,1985,1986,,1.870587934,6.693733308,6.7877432,20.14486298
1986.5,1986,1987,,1.892713798,6.805098096,6.94331664,20.43804484
1987.5,1987,1988,,1.925038386,6.867679287,6.497945227,21.10619026
1988.5,1988,1989,,1.951601292,7.012980722,6.156680267,21.91875598
1989.5,1989,1990,,1.960883154,7.172301002,5.98082048,22.20021243
1990.5,1990,1991,0.392570221,1.937817792,7.165313998,5.829069813,22.73214368
1991.5,1991,1992,0.39707931,1.934056827,7.099564105,5.720297867,23.20559096
1992.5,1992,1993,0.39344044,1.951507336,7.116689933,5.967898773,22.52042407
1993.5,1993,1994,0.394242453,1.953993107,7.089867042,5.733292853,22.74987208
1994.5,1994,1995,0.410428084,1.981688776,7.159776476,6.668907467,22.97459834
1995.5,1995,1996,0.444051151,2.03722366,7.242251287,6.2780808,23.51663789
1996.5,1996,1997,0.467607456,2.090879712,7.327470933,6.541827733,24.23347673
1997.5,1997,1998,0.49830985,2.050082716,7.292183217,8.01961664,24.38032133
1998.5,1998,1999,0.517968668,2.065809331,7.210111115,6.792237707,24.295713
1999.5,1999,2000,0.532116212,2.082560726,7.224882473,6.5618576,24.83777067
2000.5,2000,2001,0.563247104,2.0735356,7.311731545,6.145761547,25.51148347
2001.5,2001,2002,0.565126261,2.066912954,7.31499786,5.460703467,25.6929936
2002.5,2002,2003,0.646718838,2.074681828,7.286152319,6.093696107,26.26533154
2003.5,2003,2004,0.681614748,2.107659794,7.498455931,7.321209387,27.65269048
2004.5,2004,2005,0.761033641,2.167102079,7.644759259,6.443864587,28.61002399
2005.5,2005,2006,0.817849423,2.190308527,7.772480321,5.931112213,29.59895045
2006.5,2006,2007,0.853570149,2.231914822,7.895248978,6.033740853,30.59415171
2007.5,2007,2008,0.870326769,2.277625294,7.950454229,5.59320592,31.49925552
2008.5,2008,2009,0.857137777,2.252203114,8.076741738,5.951019947,32.04966029
2009.5,2009,2010,0.88469761,2.252595006,8.055050181,6.53481728,31.51301358
2010.5,2010,2011,0.946556051,2.287897252,8.204228633,6.517828533,33.31767337
2011.5,2011,2012,1.000902354,2.347480698,8.396731724,6.392556373,34.47998949
2012.5,2012,2013,1.062908684,2.364240382,8.493633429,6.682122293,34.95473522
2013.5,2013,2014,1.113911618,2.394159808,8.499409409,6.31952064,35.27581968
2014.5,2014,2015,1.192950166,2.393982929,8.566334552,6.40991152,35.4656939
2015.5,2015,2016,1.151044488,2.412108511,8.592588917,6.512625653,35.40352751
2016.5,2016,2017,1.207872937,2.435065163,8.62926392,5.3765536,35.39283036
2017.5,2017,2018,1.276213779,2.448406409,8.745816161,5.307768107,35.97460992
2018.5,2018,2019,1.344598427,2.457579918,8.872581645,4.88202352,36.73400293
2019.5,2019,2020,1.401469022,2.492645842,8.945953702,4.887177547,37.08656669
2020.5,2020,2021,1.462010904,2.496844209,8.834013058,4.51653952,35.15822983
2021.5,2021,2022,1.532072239,2.528457758,8.952528858,4.657102773,36.86686379
2022.5,2022,2023,1.601360755,2.546570741,9.097129402,4.785391627,37.52777168
2023.5,2023,2024,1.668512221,2.581273639,9.226355764,4.745551733,38.09404417
2024.5,2024,2025,1.736732212,2.603738611,9.287705275,4.585508213,38.59857803
