time,timebound_lower,timebound_upper,natural_p05,natural_p17,natural_p50,natural_p83,natural_p95,ghg_p05,ghg_p17,ghg_p50,ghg_p83,ghg_p95,other_human_forcing_p05,other_human_forcing_p17,other_human_forcing_p50,other_human_forcing_p83,other_human_forcing_p95,total_p05,total_p17,total_p50,total_p83,total_p95,anthropogenic_p05,anthropogenic_p17,anthropogenic_p50,anthropogenic_p83,anthropogenic_p95
1987.5,1987,1988,-0.006,-0.005,-0.004,-0.004,-0.003,0.673,0.747,0.854,0.948,1.023,-0.6,-0.497,-0.374,-0.244,-0.163,0.351,0.405,0.476,0.542,0.599,0.356,0.409,0.481,0.546,0.603
1988.5,1988,1989,0.009,0.011,0.013,0.016,0.018,0.69,0.767,0.876,0.972,1.048,-0.607,-0.504,-0.379,-0.248,-0.166,0.387,0.438,0.51,0.576,0.632,0.372,0.425,0.497,0.562,0.62
1989.5,1989,1990,0.025,0.03,0.036,0.043,0.048,0.708,0.787,0.898,0.995,1.073,-0.615,-0.51,-0.385,-0.253,-0.167,0.425,0.477,0.549,0.613,0.671,0.389,0.441,0.513,0.58,0.637
1990.5,1990,1991,0.036,0.043,0.052,0.062,0.069,0.726,0.807,0.92,1.018,1.1,-0.624,-0.517,-0.39,-0.256,-0.172,0.458,0.51,0.582,0.646,0.704,0.406,0.457,0.53,0.596,0.654
1991.5,1991,1992,0.002,0.003,0.003,0.004,0.004,0.744,0.827,0.942,1.042,1.127,-0.63,-0.524,-0.395,-0.26,-0.173,0.427,0.476,0.55,0.617,0.674,0.424,0.473,0.547,0.614,0.671
1992.5,1992,1993,-0.186,-0.166,-0.139,-0.115,-0.097,0.762,0.846,0.964,1.066,1.154,-0.636,-0.529,-0.4,-0.265,-0.178,0.284,0.341,0.425,0.499,0.56,0.442,0.492,0.565,0.631,0.69
1993.5,1993,1994,-0.225,-0.2,-0.168,-0.139,-0.117,0.781,0.868,0.987,1.09,1.179,-0.642,-0.537,-0.404,-0.269,-0.181,0.268,0.327,0.414,0.492,0.551,0.459,0.509,0.583,0.649,0.707
1994.5,1994,1995,-0.178,-0.159,-0.133,-0.11,-0.092,0.797,0.888,1.009,1.115,1.207,-0.648,-0.541,-0.408,-0.272,-0.182,0.327,0.384,0.468,0.541,0.601,0.477,0.528,0.601,0.668,0.726
1995.5,1995,1996,-0.124,-0.11,-0.093,-0.076,-0.064,0.814,0.909,1.032,1.14,1.232,-0.652,-0.547,-0.412,-0.276,-0.182,0.392,0.447,0.527,0.598,0.657,0.496,0.547,0.62,0.687,0.745
1996.5,1996,1997,-0.077,-0.069,-0.058,-0.048,-0.04,0.833,0.927,1.055,1.166,1.257,-0.657,-0.552,-0.416,-0.281,-0.179,0.453,0.504,0.581,0.649,0.708,0.515,0.567,0.639,0.706,0.764
1997.5,1997,1998,-0.037,-0.033,-0.028,-0.023,-0.019,0.853,0.949,1.078,1.191,1.283,-0.662,-0.554,-0.419,-0.283,-0.18,0.504,0.557,0.631,0.697,0.756,0.535,0.587,0.659,0.725,0.783
1998.5,1998,1999,-0.001,-0.001,0,0,0,0.871,0.969,1.101,1.216,1.311,-0.668,-0.557,-0.422,-0.286,-0.179,0.554,0.607,0.678,0.745,0.802,0.555,0.607,0.678,0.745,0.803
1999.5,1999,2000,0.017,0.02,0.024,0.029,0.032,0.892,0.99,1.124,1.243,1.338,-0.674,-0.56,-0.425,-0.288,-0.182,0.601,0.652,0.723,0.789,0.846,0.576,0.628,0.699,0.766,0.823
2000.5,2000,2001,0.031,0.037,0.045,0.054,0.061,0.91,1.012,1.147,1.269,1.365,-0.678,-0.563,-0.427,-0.289,-0.179,0.644,0.695,0.765,0.832,0.889,0.598,0.648,0.719,0.786,0.843
2001.5,2001,2002,0.042,0.05,0.06,0.072,0.08,0.93,1.033,1.17,1.295,1.395,-0.683,-0.565,-0.429,-0.291,-0.179,0.68,0.729,0.801,0.867,0.926,0.617,0.67,0.74,0.806,0.866
2002.5,2002,2003,0.051,0.06,0.073,0.087,0.097,0.946,1.053,1.193,1.321,1.425,-0.685,-0.565,-0.431,-0.291,-0.178,0.712,0.762,0.835,0.9,0.958,0.636,0.692,0.762,0.829,0.887
2003.5,2003,2004,0.052,0.062,0.075,0.09,0.101,0.963,1.074,1.216,1.347,1.454,-0.69,-0.567,-0.433,-0.289,-0.176,0.737,0.786,0.859,0.926,0.982,0.657,0.713,0.784,0.85,0.908
2004.5,2004,2005,0.053,0.063,0.076,0.091,0.102,0.979,1.095,1.239,1.372,1.485,-0.695,-0.571,-0.434,-0.29,-0.174,0.761,0.808,0.882,0.948,1.005,0.681,0.735,0.806,0.872,0.929
2005.5,2005,2006,0.05,0.059,0.072,0.085,0.096,0.996,1.115,1.262,1.399,1.515,-0.701,-0.573,-0.434,-0.29,-0.17,0.779,0.826,0.9,0.967,1.022,0.704,0.757,0.828,0.895,0.95
2006.5,2006,2007,0.046,0.055,0.067,0.08,0.089,1.013,1.135,1.286,1.424,1.544,-0.705,-0.573,-0.435,-0.29,-0.167,0.799,0.844,0.918,0.983,1.039,0.725,0.779,0.851,0.917,0.972
2007.5,2007,2008,0.042,0.05,0.061,0.072,0.081,1.031,1.155,1.309,1.449,1.573,-0.705,-0.573,-0.435,-0.287,-0.163,0.817,0.861,0.935,1,1.054,0.746,0.801,0.874,0.94,0.994
2008.5,2008,2009,0.04,0.047,0.058,0.069,0.077,1.049,1.176,1.332,1.474,1.601,-0.707,-0.571,-0.435,-0.285,-0.158,0.836,0.881,0.955,1.02,1.077,0.771,0.824,0.897,0.965,1.017
2009.5,2009,2010,0.037,0.044,0.053,0.063,0.071,1.064,1.197,1.355,1.501,1.628,-0.709,-0.572,-0.434,-0.281,-0.156,0.853,0.899,0.974,1.04,1.096,0.796,0.847,0.921,0.99,1.043
2010.5,2010,2011,0.038,0.045,0.054,0.064,0.072,1.082,1.218,1.378,1.527,1.655,-0.709,-0.574,-0.433,-0.278,-0.155,0.877,0.925,0.999,1.066,1.121,0.819,0.872,0.945,1.014,1.069
2011.5,2011,2012,0.038,0.045,0.055,0.066,0.074,1.1,1.236,1.402,1.553,1.682,-0.71,-0.574,-0.432,-0.276,-0.15,0.9,0.949,1.025,1.092,1.145,0.842,0.895,0.97,1.038,1.093
2012.5,2012,2013,0.042,0.05,0.06,0.072,0.081,1.117,1.258,1.425,1.577,1.713,-0.708,-0.574,-0.431,-0.272,-0.145,0.928,0.978,1.055,1.123,1.176,0.864,0.919,0.994,1.063,1.119
2013.5,2013,2014,0.047,0.055,0.067,0.08,0.09,1.135,1.277,1.448,1.602,1.745,-0.708,-0.573,-0.429,-0.268,-0.142,0.958,1.008,1.086,1.156,1.21,0.887,0.943,1.019,1.089,1.143
2014.5,2014,2015,0.05,0.059,0.072,0.085,0.096,1.153,1.298,1.471,1.629,1.774,-0.709,-0.573,-0.427,-0.265,-0.14,0.986,1.038,1.116,1.186,1.242,0.91,0.968,1.045,1.114,1.168
2015.5,2015,2016,0.049,0.059,0.071,0.085,0.095,1.17,1.319,1.495,1.656,1.802,-0.71,-0.571,-0.425,-0.261,-0.135,1.01,1.063,1.141,1.212,1.266,0.936,0.993,1.07,1.14,1.193
2016.5,2016,2017,0.046,0.055,0.066,0.079,0.088,1.186,1.338,1.518,1.68,1.83,-0.712,-0.571,-0.422,-0.255,-0.129,1.029,1.083,1.162,1.235,1.287,0.96,1.018,1.096,1.165,1.219
2017.5,2017,2018,0.042,0.05,0.06,0.072,0.081,1.203,1.358,1.541,1.705,1.86,-0.71,-0.57,-0.42,-0.249,-0.122,1.048,1.102,1.182,1.256,1.307,0.985,1.041,1.122,1.193,1.247
2018.5,2018,2019,0.038,0.045,0.054,0.065,0.072,1.219,1.38,1.565,1.73,1.889,-0.713,-0.571,-0.417,-0.244,-0.113,1.065,1.121,1.202,1.276,1.33,1.007,1.067,1.148,1.219,1.276
2019.5,2019,2020,0.033,0.04,0.048,0.057,0.065,1.236,1.401,1.588,1.758,1.917,-0.71,-0.57,-0.413,-0.238,-0.107,1.08,1.14,1.223,1.296,1.354,1.032,1.092,1.175,1.246,1.305
2020.5,2020,2021,0.03,0.035,0.043,0.051,0.058,1.252,1.421,1.611,1.784,1.945,-0.71,-0.57,-0.41,-0.233,-0.105,1.1,1.161,1.244,1.319,1.379,1.055,1.118,1.201,1.276,1.336
2021.5,2021,2022,0.029,0.034,0.041,0.049,0.055,1.269,1.443,1.635,1.809,1.974,-0.708,-0.567,-0.407,-0.227,-0.1,1.121,1.186,1.269,1.346,1.408,1.079,1.146,1.228,1.305,1.366
2022.5,2022,2023,0.029,0.035,0.042,0.051,0.057,1.286,1.463,1.658,1.834,2.003,-0.706,-0.565,-0.403,-0.223,-0.09,1.146,1.213,1.298,1.376,1.439,1.104,1.171,1.255,1.334,1.398
2023.5,2023,2024,0.031,0.037,0.044,0.053,0.059,1.303,1.484,1.681,1.861,2.032,-0.705,-0.563,-0.399,-0.219,-0.079,1.173,1.24,1.327,1.408,1.471,1.129,1.196,1.283,1.364,1.429
2024.5,2024,2025,0.031,0.037,0.045,0.054,0.06,1.321,1.505,1.705,1.888,2.06,-0.707,-0.561,-0.395,-0.212,-0.071,1.197,1.267,1.355,1.437,1.503,1.152,1.221,1.31,1.392,1.461
2025.5,2025,2026,0.03,0.036,0.044,0.052,0.059,1.338,1.525,1.728,1.912,2.088,-0.705,-0.559,-0.391,-0.208,-0.065,1.221,1.292,1.381,1.464,1.533,1.176,1.248,1.337,1.421,1.491
