time,timebound_lower,timebound_upper,anthropogenic_p05,anthropogenic_p50,anthropogenic_p95,ghg_p05,ghg_p50,ghg_p95,other_human_forcings_p05,other_human_forcings_p50,other_human_forcings_p95,natural_p05,natural_p50,natural_p95,notes
2015,2010,2020,0.8,1.07,1.3,1,1.33,1.8,-0.7,-0.26,0.1,-0.1,0.05,0.1,
2018,2013,2023,0.9,1.14,1.4,1.1,1.4,1.8,-0.7,-0.25,0.1,0,0.04,0.1,
2017.5,2017,2018,0.9,1.13,1.4,1.1,1.38,1.8,-0.7,-0.25,0.1,-0.1,0.04,0.2,
2022.5,2022,2023,1,1.26,1.6,1.1,1.49,2,-0.7,-0.24,0.1,-0.1,0.03,0.1,
2017.5,2017,2018,0.9,1.11,1.4,1,1.38,1.8,-0.7,-0.26,0.1,-0.1,0.05,0.1,SR1.5 definition
2022.5,2022,2023,1,1.26,1.5,1.1,1.49,2,-0.7,-0.24,0.1,-0.1,0.04,0.1,SR1.5 definition
