time,timebound_lower,timebound_upper,natural_p05,natural_p17,natural_p50,natural_p83,natural_p95,ghg_p05,ghg_p17,ghg_p50,ghg_p83,ghg_p95,other_human_forcings_p05,other_human_forcings_p17,other_human_forcings_p50,other_human_forcings_p83,other_human_forcings_p95,anthropogenic_p05,anthropogenic_p17,anthropogenic_p50,anthropogenic_p83,anthropogenic_p95,total_p05,total_p17,total_p50,total_p83,total_p95,residual_p05,residual_p17,residual_p50,residual_p83,residual_p95
1862.5,1862,1863,0.009945904,0.014397437,0.022416297,0.030782859,0.036728293,-0.042121951,-0.038135123,-0.034462932,-0.031536553,-0.0291788,0.003458753,0.005847829,0.010831637,0.018160487,0.025594702,-0.029284912,-0.027254204,-0.023613677,-0.018357524,-0.012831605,-0.098565035,-0.070815873,-0.035905831,0.003635506,0.030165502,-0.255039427,-0.195428833,-0.137930453,-0.07794714,-0.045991371
1863.5,1863,1864,-0.043520222,-0.032608226,-0.021732127,-0.014310637,-0.009753969,-0.039538775,-0.035793931,-0.032344196,-0.029599568,-0.027388187,0.003299808,0.005650566,0.010546432,0.017794679,0.025292529,-0.027333558,-0.025375441,-0.021778165,-0.016483817,-0.010941907,-0.142840818,-0.114708134,-0.080182392,-0.041203761,-0.017738595,-0.029736266,0.025640807,0.095895775,0.143383761,0.206394482
1864.5,1864,1865,-0.10711609,-0.090979189,-0.070707712,-0.052236807,-0.039797983,-0.036858846,-0.033364703,-0.030146006,-0.027587166,-0.025525845,0.003194291,0.005502905,0.010348702,0.017555742,0.025284182,-0.025293319,-0.023391955,-0.019795811,-0.014348139,-0.008570488,-0.19384487,-0.165436333,-0.125105619,-0.085084305,-0.059028856,-0.077345484,-0.038564877,0.017257566,0.064692178,0.097779229
1865.5,1865,1866,-0.087572314,-0.076422647,-0.061065134,-0.045633572,-0.03506968,-0.034098738,-0.030864042,-0.027883187,-0.025513843,-0.023606067,0.003114076,0.005282356,0.009796093,0.016461682,0.023487052,-0.023262348,-0.021460699,-0.018083003,-0.013047585,-0.007787367,-0.179086464,-0.151219058,-0.113289375,-0.074334929,-0.05018603,0.038163709,0.074343139,0.127574198,0.19744657,0.23277104
1866.5,1866,1867,-0.049536706,-0.041505187,-0.03132214,-0.022257814,-0.016812324,-0.03127775,-0.028308249,-0.025570746,-0.023393944,-0.021640405,0.003017105,0.005048212,0.009202661,0.01528387,0.021521643,-0.021195347,-0.019497072,-0.016360472,-0.011787301,-0.007118943,-0.146243052,-0.118232715,-0.083128184,-0.044529113,-0.021515382,0.00884085,0.038134146,0.089878321,0.143740003,0.196529631
1867.5,1867,1868,-0.021136453,-0.015851027,-0.009418643,-0.004434794,0.00298891,-0.028387031,-0.02569082,-0.023200747,-0.021219922,-0.019622506,0.00293063,0.004835691,0.008645647,0.014162595,0.019674546,-0.019069504,-0.0174669,-0.014550111,-0.010391923,-0.006247721,-0.120952123,-0.093435326,-0.059262423,-0.020769864,0.003264709,-0.039219386,-0.001767208,0.049670374,0.114100741,0.156986878
1868.5,1868,1869,-0.001460241,0.001030295,0.005170649,0.010360251,0.018431189,-0.025472632,-0.023054969,-0.020813787,-0.019029222,-0.017588025,0.002747605,0.004467434,0.007684838,0.012233805,0.016502711,-0.017080844,-0.015649101,-0.013183726,-0.009760209,-0.006349848,-0.103591199,-0.076415207,-0.042625166,-0.004194957,0.020431625,-0.0463918,-0.013662887,0.05239057,0.097140448,0.124919363
1869.5,1869,1870,0.008899253,0.012132099,0.017191005,0.02351879,0.029570608,-0.02263779,-0.020491995,-0.018496878,-0.016905429,-0.01561443,0.002430255,0.004038829,0.00684203,0.010720868,0.014367446,-0.01530314,-0.013993817,-0.011773673,-0.008627841,-0.005574269,-0.090246903,-0.063130613,-0.029336356,0.00912709,0.034325078,-0.019450154,0.006670374,0.063974731,0.122990626,0.164324944
1870.5,1870,1871,0.015331425,0.020054659,0.026849433,0.034037959,0.039496306,-0.019903373,-0.01802354,-0.016268671,-0.014865593,-0.013718506,0.002068058,0.003615372,0.006105153,0.009544758,0.012805098,-0.013673317,-0.012371984,-0.010250911,-0.007312871,-0.004624302,-0.079861984,-0.052608512,-0.018640646,0.019889091,0.045551893,-0.01824188,0.004480015,0.044222867,0.083885091,0.11073494
1871.5,1871,1872,0.019953703,0.025966805,0.0343513,0.042584386,0.048513227,-0.017246612,-0.015625583,-0.014104797,-0.012884266,-0.011877296,0.001761237,0.003241588,0.005465698,0.008526547,0.011378509,-0.011912161,-0.010675261,-0.008684049,-0.006027163,-0.003697915,-0.07147341,-0.044036344,-0.009839513,0.028757757,0.054753623,-0.089733732,-0.056085793,-0.011609262,0.033331337,0.074824265
1872.5,1872,1873,0.023253427,0.030214946,0.039843112,0.049134433,0.055876244,-0.014620985,-0.013253389,-0.011962048,-0.010920423,-0.010053586,0.001975367,0.003159827,0.005153723,0.007819771,0.010255503,-0.009514506,-0.008533284,-0.006879395,-0.004656393,-0.002651753,-0.064567195,-0.03696243,-0.00255705,0.036096318,0.062253479,-0.055148432,-0.017933506,0.031150918,0.085684732,0.130683008
1873.5,1873,1874,0.021814684,0.028321091,0.037355252,0.04627049,0.052912127,-0.011965222,-0.010852333,-0.009789689,-0.008926294,-0.008205931,0.001679568,0.002682589,0.004354314,0.006546827,0.00850109,-0.007690519,-0.006864592,-0.005483925,-0.003682593,-0.002110668,-0.064885186,-0.037413213,-0.003657404,0.0346029,0.059999142,-0.063636176,-0.026866883,0.024062069,0.074600391,0.104541541
1874.5,1874,1875,0.02122754,0.027605077,0.036564715,0.0455838,0.052334118,-0.009239726,-0.008384451,-0.00755325,-0.006869694,-0.006304056,0.000841276,0.001841871,0.003171959,0.004854638,0.006274481,-0.00656846,-0.005642568,-0.004369658,-0.002900343,-0.001680177,-0.064110592,-0.036779643,-0.003416843,0.03453208,0.059530432,-0.108042398,-0.074417836,-0.027453177,0.022387927,0.051806745
1875.5,1875,1876,0.02438516,0.031679898,0.04189747,0.052080572,0.059698902,-0.006404208,-0.005811982,-0.005215516,-0.004715075,-0.004314236,0.000248121,0.001255173,0.002498169,0.003812128,0.004858776,-0.005190102,-0.003875776,-0.002720753,-0.001486963,-0.000482917,-0.057611086,-0.030193814,0.003515032,0.041477834,0.066880048,-0.121260079,-0.084769853,-0.03137801,0.025327918,0.061445318
