time,timebound_lower,timebound_upper,anthropogenic_p05,anthropogenic_p50,anthropogenic_p95,ghg_p05,ghg_p50,ghg_p95,other_human_forcing_p05,other_human_forcing_p50,other_human_forcing_p95,natural_p05,natural_p50,natural_p95,notes
2015,2010,2020,0.9,1.09,1.3,1,1.4,1.9,-0.8,-0.3,0.1,-0.1,0.05,0.2,
2020,2015,2025,1,1.22,1.5,1,1.51,2,-0.8,-0.28,0.1,-0.1,0.05,0.2,
2017.5,2017,2018,0.9,1.15,1.4,1,1.46,1.9,-0.8,-0.29,0.1,-0.1,0.05,0.2,
2024.5,2024,2025,1.1,1.37,1.8,1.1,1.62,2.1,-0.8,-0.26,0.1,-0.1,0.04,0.2,
2017.5,2017,2018,0.9,1.13,1.3,1,1.45,1.9,-0.8,-0.31,0.1,-0.1,0.05,0.2,SR15 definition
2024.5,2024,2025,1.1,1.36,1.7,1.1,1.62,2.1,-0.8,-0.26,0.1,-0.1,0.04,0.2,SR15 definition
