time,timebound_lower,timebound_upper,total_p05,total_p50,total_p95,anthropogenic_p05,anthropogenic_p50,anthropogenic_p95,ghg_p05,ghg_p50,ghg_p95,natural_p05,natural_p50,natural_p95,other_human_forcing_p05,other_human_forcing_p50,other_human_forcing_p95,internal_variability_p05,internal_variability_p50,internal_variability_p95
2015,2010,2020,0.88,1.06,1.21,0.8,1.07,1.3,1,1.4,2,-0.1,0.03,0.1,-0.8,-0.32,0,-0.2,0,0.2
2017.5,2017,2018,,,,0.8,1,1.2,,,,,,,,,,,,
